Customer ID,Order Date,Ship Date,Ship Mode
112893,2023-09-09,2029-03-05,Second Class
153787,2024-05-19,2029-11-13,Standard Class
106824,2024-07-07,2030-01-01,Standard Class
135034,2024-08-01,2030-01-24,First Class
103443,2024-12-17,2030-06-15,Standard Class
149678,2022-04-13,2027-10-06,Second Class
129112,2022-11-29,2028-05-22,First Class
123001,2024-09-02,2030-03-01,Standard Class
143798,2024-12-10,2030-06-04,First Class
103905,2021-07-14,2027-01-10,Standard Class
144519,2022-11-13,2028-05-09,Standard Class
120824,2023-06-12,2028-12-06,Second Class
163216,2023-10-07,2029-04-01,First Class
136812,2023-11-18,2029-05-15,Standard Class
107321,2024-08-31,2030-02-25,Standard Class
118157,2024-11-14,2030-05-10,First Class
102652,2021-04-06,2026-10-03,Standard Class
101427,2021-12-26,2027-06-22,Standard Class
139934,2023-12-18,2029-06-11,First Class
137428,2024-12-16,2030-06-13,Second Class
158442,2021-03-17,2026-09-07,Same Day
148586,2021-03-25,2026-09-22,Standard Class
151253,2022-04-22,2027-10-17,Standard Class
130876,2022-05-12,2027-11-06,Second Class
100993,2023-02-05,2028-08-02,Standard Class
110940,2024-07-23,2030-01-18,Standard Class
169642,2021-07-27,2027-01-20,Second Class
141810,2022-11-02,2028-04-29,Standard Class
103947,2023-04-01,2028-09-28,Standard Class
112928,2024-06-01,2029-11-26,Second Class
118136,2024-09-16,2030-03-10,First Class
115168,2022-06-05,2027-11-30,Standard Class
107083,2022-11-21,2028-05-19,Standard Class
124506,2023-11-11,2029-05-09,Standard Class
169838,2023-11-25,2029-05-21,Standard Class
155166,2023-12-26,2029-06-24,Standard Class
118941,2024-08-12,2030-02-02,Same Day
130043,2024-09-15,2030-03-12,Standard Class
158561,2024-11-11,2030-05-09,Second Class
102379,2024-12-02,2030-05-29,Standard Class
147543,2021-07-06,2027-01-02,Standard Class
113859,2021-09-13,2027-03-10,Standard Class
158351,2022-06-20,2027-12-15,Second Class
123050,2023-04-04,2028-09-28,Second Class
149335,2023-07-25,2029-01-14,Same Day
143910,2023-08-12,2029-02-05,Standard Class
134369,2023-09-16,2029-03-14,Standard Class
113530,2024-05-19,2029-11-11,Second Class
120418,2024-06-11,2029-12-03,First Class
120677,2022-05-31,2027-11-25,Standard Class
121699,2022-08-10,2028-02-04,Standard Class
136406,2023-04-15,2028-10-07,Second Class
148593,2023-06-16,2028-12-08,Second Class
130680,2023-06-24,2028-12-19,Standard Class
167241,2023-08-15,2029-02-11,Standard Class
110086,2023-09-18,2029-03-14,Standard Class
119165,2023-10-31,2029-04-28,Standard Class
122735,2024-04-12,2029-10-06,Second Class
158071,2024-06-10,2029-12-06,Standard Class
117485,2024-09-23,2030-03-22,Standard Class
107125,2024-11-27,2030-05-25,Standard Class
140795,2021-02-01,2026-07-27,First Class
151015,2021-10-14,2027-04-12,Standard Class
167696,2022-09-16,2028-03-13,Standard Class
117828,2022-12-23,2028-06-17,First Class
105935,2024-01-26,2029-07-23,Standard Class
133312,2024-11-25,2030-05-22,Standard Class
163923,2022-05-30,2027-11-24,Standard Class
124716,2024-03-27,2029-09-21,Standard Class
157147,2021-01-13,2026-07-11,Standard Class
164406,2021-08-15,2027-02-09,Standard Class
123960,2022-06-11,2027-12-07,Standard Class
158792,2022-12-26,2028-06-24,Standard Class
112102,2023-04-12,2028-10-06,Standard Class
158792,2023-12-26,2029-06-24,Standard Class
105746,2023-12-30,2029-06-23,First Class
144694,2024-09-24,2030-03-19,Second Class
152254,2021-06-30,2026-12-21,Same Day
111976,2023-03-08,2028-09-01,Standard Class
157686,2023-10-01,2029-03-24,First Class
111941,2023-12-25,2029-06-19,Second Class
100202,2023-12-31,2029-06-27,Standard Class
130211,2024-10-22,2030-04-14,Same Day
152422,2021-10-05,2027-04-02,Second Class
110814,2022-12-05,2028-05-31,Second Class
109589,2024-12-21,2030-06-16,First Class
128139,2022-07-03,2027-12-30,Standard Class
165015,2023-02-25,2028-08-19,Second Class
146192,2024-04-22,2029-10-17,Standard Class
125472,2024-05-30,2029-11-21,First Class
168396,2024-08-03,2030-01-29,Second Class
101574,2024-09-28,2030-03-27,Standard Class
122182,2023-03-10,2028-09-03,Standard Class
148698,2023-05-02,2028-10-27,Standard Class
165918,2023-09-10,2029-03-06,Standard Class
124667,2023-11-11,2029-05-08,Standard Class
145338,2024-01-29,2029-07-24,First Class
115105,2024-02-06,2029-08-03,Standard Class
166912,2023-01-15,2028-07-09,First Class
128307,2023-07-25,2029-01-18,Standard Class
155985,2024-03-23,2029-09-15,First Class
105046,2024-07-17,2030-01-13,Standard Class
137596,2024-09-02,2030-02-28,Standard Class
161662,2023-02-07,2028-08-01,First Class
125220,2023-10-14,2029-04-10,Standard Class
108630,2023-11-18,2029-05-10,Same Day
141782,2024-01-21,2029-07-17,Standard Class
121314,2024-09-23,2030-03-19,First Class
122406,2022-08-02,2028-01-26,Second Class
115924,2022-09-14,2028-03-10,Second Class
118052,2023-05-06,2028-10-30,Standard Class
146857,2023-05-06,2028-10-28,Second Class
140774,2023-09-05,2029-03-02,Standard Class
166324,2024-04-20,2029-10-12,First Class
109904,2021-07-14,2027-01-07,Second Class
117345,2021-08-01,2027-01-26,Standard Class
137281,2022-06-13,2027-12-08,Standard Class
116750,2022-07-05,2027-12-31,Second Class
116260,2022-07-06,2028-01-02,Standard Class
100041,2023-11-20,2029-05-17,Standard Class
120908,2024-09-30,2030-03-25,First Class
141355,2021-09-25,2027-03-23,Standard Class
137729,2023-05-05,2028-10-29,Standard Class
105452,2023-07-28,2029-01-21,Standard Class
103380,2024-11-21,2030-05-18,Standard Class
165568,2021-02-15,2026-08-12,Standard Class
145758,2022-10-30,2028-04-21,Same Day
159940,2023-07-07,2028-12-31,Second Class
156265,2023-08-02,2029-01-24,Second Class
134495,2024-04-01,2029-09-25,Second Class
124779,2024-09-08,2030-03-04,First Class
133333,2024-09-18,2030-03-15,Standard Class
114804,2024-10-17,2030-04-11,Second Class
163013,2021-11-28,2027-05-27,Standard Class
140676,2024-09-12,2030-03-08,First Class
117128,2024-12-05,2030-05-31,Second Class
167724,2021-04-13,2026-10-09,Standard Class
110184,2021-07-12,2027-01-06,Standard Class
151799,2021-12-14,2027-06-10,Standard Class
138247,2021-12-24,2027-06-21,Standard Class
145835,2022-05-13,2027-11-08,Second Class
113327,2022-05-26,2027-11-19,Second Class
159891,2023-01-31,2028-07-29,Standard Class
149111,2023-04-17,2028-10-11,Second Class
120460,2023-04-30,2028-10-25,Standard Class
162348,2023-11-10,2029-05-07,Standard Class
119039,2024-03-06,2029-08-31,Standard Class
151799,2024-12-14,2030-06-10,Standard Class
103219,2021-11-09,2027-05-06,Standard Class
154662,2023-06-09,2028-12-06,Standard Class
106859,2024-03-13,2029-09-08,Second Class
102729,2024-10-26,2030-04-23,Standard Class
148040,2021-03-22,2026-09-16,Standard Class
169012,2024-07-10,2030-01-04,Standard Class
161130,2024-11-03,2030-05-01,Standard Class
114377,2021-11-05,2027-04-28,Same Day
155390,2021-12-06,2027-06-03,Standard Class
141565,2022-09-20,2028-03-16,Standard Class
120901,2022-12-31,2028-06-26,Standard Class
134110,2023-11-17,2029-05-10,First Class
117198,2024-08-31,2030-02-26,Standard Class
169005,2024-11-02,2030-04-29,Standard Class
165715,2024-12-02,2030-05-31,Standard Class
127523,2021-05-11,2026-11-08,Standard Class
108588,2022-01-05,2027-07-03,Standard Class
153682,2023-05-30,2028-11-21,First Class
162852,2023-12-27,2029-06-22,Standard Class
121412,2024-09-23,2030-03-20,Standard Class
105543,2024-11-24,2030-05-17,Same Day
164749,2021-03-23,2026-09-16,First Class
154200,2022-06-18,2027-12-13,Standard Class
165995,2023-08-30,2029-02-26,Standard Class
145240,2023-09-06,2029-02-28,First Class
119389,2024-04-17,2029-10-10,First Class
135419,2024-11-03,2030-05-02,Standard Class
123625,2021-12-29,2027-06-25,Standard Class
141531,2021-12-29,2027-06-25,Standard Class
135480,2023-12-15,2029-06-13,Standard Class
135480,2024-12-15,2030-06-14,Standard Class
141531,2024-12-29,2030-06-25,Standard Class
115812,2021-06-09,2026-12-05,Standard Class
140914,2021-11-11,2027-05-08,Standard Class
130491,2022-02-08,2027-08-04,First Class
149300,2022-11-22,2028-05-15,First Class
112123,2023-03-03,2028-08-28,Standard Class
127306,2024-01-14,2029-07-10,Standard Class
112865,2024-05-18,2029-11-12,Standard Class
135587,2024-12-07,2030-06-04,Standard Class
125612,2021-08-03,2027-01-29,Standard Class
140452,2021-12-06,2027-06-02,Standard Class
113110,2022-03-19,2027-09-13,Standard Class
130799,2023-11-11,2029-05-08,Second Class
117009,2024-09-22,2030-03-21,Standard Class
151183,2024-10-14,2030-04-11,Standard Class
139892,2021-09-08,2027-03-05,Standard Class
106278,2023-09-02,2029-02-25,Second Class
126004,2023-12-04,2029-05-27,First Class
121706,2024-02-26,2029-08-23,Standard Class
105102,2022-09-15,2028-03-11,Second Class
160304,2023-01-02,2028-06-29,Standard Class
142615,2023-11-20,2029-05-16,Standard Class
129203,2024-04-17,2029-10-13,Standard Class
155642,2024-05-18,2029-11-12,Standard Class
165155,2024-09-21,2030-03-16,First Class
165379,2021-07-09,2027-01-05,Standard Class
125514,2021-09-21,2027-03-15,First Class
134733,2021-09-23,2027-03-21,Standard Class
124107,2022-10-09,2028-04-03,Second Class
100454,2022-11-20,2028-05-17,Standard Class
163202,2023-09-27,2029-03-24,Standard Class
167101,2024-03-24,2029-09-18,Second Class
149048,2024-05-13,2029-11-07,Standard Class
152912,2024-11-09,2030-05-05,Second Class
121678,2024-11-16,2030-05-13,Second Class
102519,2024-11-27,2030-05-22,First Class
133270,2021-06-06,2026-11-30,First Class
106971,2021-09-02,2027-03-01,Standard Class
116568,2021-12-14,2027-06-12,Standard Class
165813,2022-03-20,2027-09-12,Second Class
160787,2022-09-25,2028-03-17,Same Day
157014,2022-10-03,2028-03-28,Second Class
105473,2023-04-16,2028-10-08,Second Class
101966,2023-07-14,2029-01-05,Second Class
117660,2023-12-30,2029-06-26,Standard Class
152968,2024-05-26,2029-11-20,Standard Class
138527,2021-09-12,2027-03-10,Standard Class
106215,2022-04-16,2027-10-12,Standard Class
114370,2024-03-14,2029-09-07,Second Class
149006,2024-12-06,2030-05-31,Second Class
118339,2021-03-17,2026-09-14,Standard Class
103940,2021-09-17,2027-03-14,Standard Class
169943,2023-05-19,2028-11-13,Standard Class
131625,2024-09-01,2030-02-26,Second Class
163405,2024-12-21,2030-06-17,Standard Class
105207,2023-01-03,2028-06-30,Standard Class
137204,2023-04-28,2028-10-25,Standard Class
128076,2024-02-02,2029-07-30,Standard Class
132199,2024-05-03,2029-10-29,Standard Class
144883,2024-08-15,2030-02-09,Standard Class
136658,2022-09-10,2028-03-09,Standard Class
158386,2024-10-16,2030-04-13,Standard Class
154655,2021-10-12,2027-04-09,Standard Class
160535,2023-11-25,2029-05-22,Standard Class
108364,2023-12-19,2029-06-15,Standard Class
143084,2024-03-18,2029-09-12,Standard Class
151596,2024-10-08,2030-04-03,First Class
