Product Name,Customer ID,Sales,Units,Gross Profit,Cost,Order Date,Ship Date,Ship Mode
Wonka Bar - Milk Chocolate,169488,6.5,2,4.22,2.28,2024-09-07,2030-03-02,First Class
Wonka Bar - Triple Dazzle Caramel,169488,18.75,5,12.25,6.5,2024-09-07,2030-03-02,First Class
Wonka Bar - Nutty Crunch Surprise,100230,3.49,1,2.49,1.0,2024-12-11,2030-06-07,Standard Class
Wonka Bar - Triple Dazzle Caramel,100230,11.25,3,7.35,3.9,2024-12-11,2030-06-07,Standard Class
Wonka Bar - Nutty Crunch Surprise,100230,6.98,2,4.98,2.0,2024-12-11,2030-06-07,Standard Class
Wonka Bar - Triple Dazzle Caramel,155271,7.5,2,4.9,2.6,2021-05-04,2026-10-25,Same Day
Wonka Bar - Triple Dazzle Caramel,121671,11.25,3,7.35,3.9,2023-07-17,2029-01-11,Standard Class
Wonka Bar -Scrumdiddlyumptious,121671,3.6,1,2.5,1.1,2023-07-17,2029-01-11,Standard Class
Wonka Bar - Nutty Crunch Surprise,121671,27.92,8,19.92,8.0,2023-07-17,2029-01-11,Standard Class
Wonka Bar - Nutty Crunch Surprise,121671,3.49,1,2.49,1.0,2023-07-17,2029-01-11,Standard Class
Wonka Bar - Fudge Mallows,121671,10.8,3,7.2,3.6,2023-07-17,2029-01-11,Standard Class
Wonka Bar -Scrumdiddlyumptious,114601,14.4,4,10.0,4.4,2023-08-26,2029-02-22,Standard Class
Wonka Bar -Scrumdiddlyumptious,114601,10.8,3,7.5,3.3,2023-08-26,2029-02-22,Standard Class
Wonka Bar - Triple Dazzle Caramel,114601,7.5,2,4.9,2.6,2023-08-26,2029-02-22,Standard Class
Wonka Bar - Nutty Crunch Surprise,114601,10.47,3,7.47,3.0,2023-08-26,2029-02-22,Standard Class
Wonka Bar -Scrumdiddlyumptious,114601,10.8,3,7.5,3.3,2023-08-26,2029-02-22,Standard Class
Wonka Bar - Triple Dazzle Caramel,114412,11.25,3,7.35,3.9,2024-04-15,2029-10-11,Standard Class
Wonka Bar - Fudge Mallows,154963,18.0,5,12.0,6.0,2021-06-22,2026-12-18,Standard Class
Wonka Bar - Triple Dazzle Caramel,154963,11.25,3,7.35,3.9,2021-06-22,2026-12-18,Standard Class
Wonka Bar - Milk Chocolate,154963,9.75,3,6.33,3.42,2021-06-22,2026-12-18,Standard Class
Wonka Bar - Fudge Mallows,143210,7.2,2,4.8,2.4,2021-12-01,2027-05-26,First Class
Wonka Bar - Milk Chocolate,143210,9.75,3,6.33,3.42,2021-12-01,2027-05-26,First Class
Wonka Bar - Fudge Mallows,143210,7.2,2,4.8,2.4,2021-12-01,2027-05-26,First Class
Wonka Bar - Fudge Mallows,110863,18.0,5,12.0,6.0,2022-11-17,2028-05-16,Standard Class
Wonka Bar - Fudge Mallows,110863,10.8,3,7.2,3.6,2022-11-17,2028-05-16,Standard Class
Wonka Bar - Fudge Mallows,110863,14.4,4,9.6,4.8,2022-11-17,2028-05-16,Standard Class
Wonka Bar - Fudge Mallows,147137,18.0,5,12.0,6.0,2023-07-04,2028-12-26,First Class
Wonka Bar - Milk Chocolate,147137,16.25,5,10.55,5.7,2023-07-04,2028-12-26,First Class
Wonka Bar - Fudge Mallows,147137,7.2,2,4.8,2.4,2023-07-04,2028-12-26,First Class
Wonka Bar - Nutty Crunch Surprise,147137,13.96,4,9.96,4.0,2023-07-04,2028-12-26,First Class
Wonka Bar - Triple Dazzle Caramel,131205,11.25,3,7.35,3.9,2023-09-04,2029-02-28,Standard Class
Wonka Bar -Scrumdiddlyumptious,131205,10.8,3,7.5,3.3,2023-09-04,2029-02-28,Standard Class
Wonka Bar - Milk Chocolate,131205,19.5,6,12.66,6.84,2023-09-04,2029-02-28,Standard Class
Wonka Bar - Triple Dazzle Caramel,131205,15.0,4,9.8,5.2,2023-09-04,2029-02-28,Standard Class
Wonka Bar - Nutty Crunch Surprise,157196,6.98,2,4.98,2.0,2024-11-05,2030-05-02,Standard Class
Wonka Bar - Fudge Mallows,152905,7.2,2,4.8,2.4,2021-02-18,2026-08-17,Standard Class
Wonka Bar - Nutty Crunch Surprise,156587,3.49,1,2.49,1.0,2021-03-07,2026-08-29,First Class
Wonka Bar - Fudge Mallows,156587,10.8,3,7.2,3.6,2021-03-07,2026-08-29,First Class
Wonka Bar - Fudge Mallows,156587,10.8,3,7.2,3.6,2021-03-07,2026-08-29,First Class
Wonka Bar - Milk Chocolate,140935,6.5,2,4.22,2.28,2023-11-10,2029-05-04,First Class
Wonka Bar - Nutty Crunch Surprise,140935,6.98,2,4.98,2.0,2023-11-10,2029-05-04,First Class
Wonka Bar - Milk Chocolate,150511,6.5,2,4.22,2.28,2022-09-18,2028-03-16,Standard Class
Wonka Bar - Milk Chocolate,108637,6.5,2,4.22,2.28,2023-03-13,2028-09-07,Standard Class
Wonka Bar - Triple Dazzle Caramel,108637,7.5,2,4.9,2.6,2023-03-13,2028-09-07,Standard Class
Wonka Bar -Scrumdiddlyumptious,108637,14.4,4,10.0,4.4,2023-03-13,2028-09-07,Standard Class
Wonka Bar - Nutty Crunch Surprise,161207,10.47,3,7.47,3.0,2023-08-29,2029-02-23,Standard Class
Wonka Bar -Scrumdiddlyumptious,129714,3.6,1,2.5,1.1,2023-09-01,2029-02-23,First Class
Wonka Bar - Fudge Mallows,129714,14.4,4,9.6,4.8,2023-09-01,2029-02-23,First Class
Wonka Bar - Nutty Crunch Surprise,129714,6.98,2,4.98,2.0,2023-09-01,2029-02-23,First Class
Wonka Bar - Nutty Crunch Surprise,129714,13.96,4,9.96,4.0,2023-09-01,2029-02-23,First Class
Wonka Bar - Triple Dazzle Caramel,129714,3.75,1,2.45,1.3,2023-09-01,2029-02-23,First Class
Wonka Bar -Scrumdiddlyumptious,159688,3.6,1,2.5,1.1,2024-05-07,2029-11-02,Standard Class
Wonka Bar - Nutty Crunch Surprise,134173,13.96,4,9.96,4.0,2024-09-16,2030-03-14,Standard Class
Wonka Gum,118213,3.75,3,1.95,1.8,2024-11-05,2030-04-30,First Class
Wonka Bar - Triple Dazzle Caramel,118213,3.75,1,2.45,1.3,2024-11-05,2030-04-30,First Class
Wonka Bar - Triple Dazzle Caramel,118213,37.5,10,24.5,13.0,2024-11-05,2030-04-30,First Class
Wonka Bar - Triple Dazzle Caramel,107174,7.5,2,4.9,2.6,2024-11-06,2030-05-06,Standard Class
Wonka Bar - Fudge Mallows,107174,25.2,7,16.8,8.4,2024-11-06,2030-05-06,Standard Class
Wonka Bar - Milk Chocolate,107174,9.75,3,6.33,3.42,2024-11-06,2030-05-06,Standard Class
Wonka Bar - Nutty Crunch Surprise,103100,10.47,3,7.47,3.0,2021-12-20,2027-06-15,First Class
Wonka Bar - Fudge Mallows,103100,3.6,1,2.4,1.2,2021-12-20,2027-06-15,First Class
Wonka Bar -Scrumdiddlyumptious,163181,18.0,5,12.5,5.5,2022-11-07,2028-05-04,Standard Class
Wonka Bar -Scrumdiddlyumptious,163181,10.8,3,7.5,3.3,2022-11-07,2028-05-04,Standard Class
Wonka Bar - Milk Chocolate,163181,32.5,10,21.1,11.4,2022-11-07,2028-05-04,Standard Class
Wonka Bar - Milk Chocolate,163181,6.5,2,4.22,2.28,2022-11-07,2028-05-04,Standard Class
Wonka Bar - Triple Dazzle Caramel,163181,7.5,2,4.9,2.6,2022-11-07,2028-05-04,Standard Class
Wonka Bar - Nutty Crunch Surprise,163181,10.47,3,7.47,3.0,2022-11-07,2028-05-04,Standard Class
Wonka Bar - Triple Dazzle Caramel,147431,7.5,2,4.9,2.6,2023-02-02,2028-07-30,Standard Class
Wonka Bar - Fudge Mallows,122245,10.8,3,7.2,3.6,2023-09-25,2029-03-22,Standard Class
Wonka Bar - Fudge Mallows,117121,46.8,13,31.2,15.6,2023-12-17,2029-06-12,Standard Class
Wonka Bar - Fudge Mallows,121643,7.2,2,4.8,2.4,2024-05-18,2029-11-10,First Class
Wonka Bar -Scrumdiddlyumptious,126788,10.8,3,7.5,3.3,2024-06-05,2029-11-27,First Class
Wonka Bar - Milk Chocolate,140781,9.75,3,6.33,3.42,2024-08-03,2030-01-28,Standard Class
Wonka Bar - Milk Chocolate,153822,13.0,4,8.44,4.56,2024-09-19,2030-03-18,Standard Class
Wonka Bar - Fudge Mallows,153822,7.2,2,4.8,2.4,2024-09-19,2030-03-18,Standard Class
Wonka Bar - Nutty Crunch Surprise,153822,6.98,2,4.98,2.0,2024-09-19,2030-03-18,Standard Class
Wonka Bar - Milk Chocolate,153822,6.5,2,4.22,2.28,2024-09-19,2030-03-18,Standard Class
Wonka Bar - Milk Chocolate,101042,19.5,6,12.66,6.84,2024-11-19,2030-05-16,Standard Class
Wonka Bar - Triple Dazzle Caramel,101042,7.5,2,4.9,2.6,2024-11-19,2030-05-16,Standard Class
Wonka Bar - Triple Dazzle Caramel,169061,11.25,3,7.35,3.9,2021-03-05,2026-08-29,Second Class
Wonka Bar - Nutty Crunch Surprise,169061,20.94,6,14.94,6.0,2021-03-05,2026-08-29,Second Class
Wonka Bar - Triple Dazzle Caramel,169061,7.5,2,4.9,2.6,2021-03-05,2026-08-29,Second Class
Wonka Bar - Nutty Crunch Surprise,169061,6.98,2,4.98,2.0,2021-03-05,2026-08-29,Second Class
Wonka Bar - Triple Dazzle Caramel,169061,11.25,3,7.35,3.9,2021-03-05,2026-08-29,Second Class
Wonka Bar - Fudge Mallows,168186,10.8,3,7.2,3.6,2022-09-10,2028-03-07,Standard Class
Wonka Bar - Triple Dazzle Caramel,147970,11.25,3,7.35,3.9,2023-01-31,2028-07-25,Second Class
Wonka Bar - Fudge Mallows,120761,14.4,4,9.6,4.8,2024-09-04,2030-03-01,Standard Class
Wonka Bar - Nutty Crunch Surprise,158876,6.98,2,4.98,2.0,2024-11-19,2030-05-14,Second Class
Wonka Bar -Scrumdiddlyumptious,158876,14.4,4,10.0,4.4,2024-11-19,2030-05-14,Second Class
Wonka Bar -Scrumdiddlyumptious,158876,14.4,4,10.0,4.4,2024-11-19,2030-05-14,Second Class
Wonka Bar -Scrumdiddlyumptious,158876,3.6,1,2.5,1.1,2024-11-19,2030-05-14,Second Class
Wonka Bar -Scrumdiddlyumptious,139500,7.2,2,5.0,2.2,2021-11-16,2027-05-13,Standard Class
Wonka Bar - Fudge Mallows,126634,18.0,5,12.0,6.0,2021-12-20,2027-06-14,Second Class
Wonka Bar -Scrumdiddlyumptious,131534,18.0,5,12.5,5.5,2022-03-28,2027-09-23,Standard Class
Wonka Bar - Triple Dazzle Caramel,131534,3.75,1,2.45,1.3,2022-03-28,2027-09-23,Standard Class
Wonka Bar - Triple Dazzle Caramel,144043,15.0,4,9.8,5.2,2022-05-10,2027-11-05,Standard Class
Wonka Bar -Scrumdiddlyumptious,115945,7.2,2,5.0,2.2,2022-06-25,2027-12-22,Standard Class
Wonka Bar - Triple Dazzle Caramel,115945,11.25,3,7.35,3.9,2022-06-25,2027-12-22,Standard Class
Wonka Bar - Triple Dazzle Caramel,115945,11.25,3,7.35,3.9,2022-06-25,2027-12-22,Standard Class
Wonka Bar - Fudge Mallows,126634,18.0,5,12.0,6.0,2024-03-30,2029-09-22,Second Class
Wonka Bar - Fudge Mallows,144932,10.8,3,7.2,3.6,2024-04-14,2029-10-08,First Class
Wonka Bar - Fudge Mallows,144932,10.8,3,7.2,3.6,2024-04-14,2029-10-08,First Class
Wonka Bar -Scrumdiddlyumptious,144932,10.8,3,7.5,3.3,2024-04-14,2029-10-08,First Class
Wonka Bar - Triple Dazzle Caramel,145737,18.75,5,12.25,6.5,2024-09-15,2030-03-13,Standard Class
Wonka Bar - Milk Chocolate,131212,19.5,6,12.66,6.84,2024-12-05,2030-06-01,Standard Class
Wonka Bar - Nutty Crunch Surprise,131212,10.47,3,7.47,3.0,2024-12-05,2030-06-01,Standard Class
Wonka Bar - Fudge Mallows,126634,3.6,1,2.4,1.2,2024-12-20,2030-06-14,Second Class
Wonka Bar - Triple Dazzle Caramel,122679,22.5,6,14.7,7.8,2021-07-22,2027-01-18,Standard Class
Wonka Bar -Scrumdiddlyumptious,142055,7.2,2,5.0,2.2,2022-05-08,2027-10-31,First Class
Wonka Bar - Milk Chocolate,110093,6.5,2,4.22,2.28,2022-12-03,2028-05-30,Standard Class
Wonka Bar - Fudge Mallows,110093,7.2,2,4.8,2.4,2022-12-03,2028-05-30,Standard Class
SweeTARTS,158708,3.0,2,1.4,1.6,2023-06-26,2028-12-19,Second Class
Wonka Bar - Nutty Crunch Surprise,151323,17.45,5,12.45,5.0,2023-10-23,2029-04-19,Standard Class
Wonka Bar - Milk Chocolate,151155,13.0,4,8.44,4.56,2023-12-20,2029-06-15,Standard Class
Wonka Bar - Triple Dazzle Caramel,151155,7.5,2,4.9,2.6,2023-12-20,2029-06-15,Standard Class
Wonka Bar -Scrumdiddlyumptious,127705,7.2,2,5.0,2.2,2024-06-02,2029-11-27,Standard Class
Wonka Bar -Scrumdiddlyumptious,127705,3.6,1,2.5,1.1,2024-06-02,2029-11-27,Standard Class
Wonka Bar - Milk Chocolate,155873,9.75,3,6.33,3.42,2024-06-16,2029-12-12,Standard Class
Wonka Bar - Milk Chocolate,155873,13.0,4,8.44,4.56,2024-06-16,2029-12-12,Standard Class
Wonka Bar -Scrumdiddlyumptious,155873,7.2,2,5.0,2.2,2024-06-16,2029-12-12,Standard Class
Wonka Bar -Scrumdiddlyumptious,126662,7.2,2,5.0,2.2,2024-07-17,2030-01-11,Standard Class
Wonka Bar - Nutty Crunch Surprise,115336,17.45,5,12.45,5.0,2021-11-18,2027-05-18,Standard Class
Wonka Bar - Nutty Crunch Surprise,111234,10.47,3,7.47,3.0,2022-02-18,2027-08-15,Standard Class
Wonka Bar - Nutty Crunch Surprise,158323,6.98,2,4.98,2.0,2022-11-30,2028-05-25,First Class
Wonka Bar - Triple Dazzle Caramel,155425,15.0,4,9.8,5.2,2024-11-10,2030-05-04,First Class
Wonka Bar - Milk Chocolate,155425,45.5,14,29.54,15.96,2024-11-10,2030-05-04,First Class
Wonka Bar - Triple Dazzle Caramel,155425,22.5,6,14.7,7.8,2024-11-10,2030-05-04,First Class
Wonka Bar - Nutty Crunch Surprise,155425,6.98,2,4.98,2.0,2024-11-10,2030-05-04,First Class
Wonka Bar - Triple Dazzle Caramel,155425,7.5,2,4.9,2.6,2024-11-10,2030-05-04,First Class
Wonka Bar - Fudge Mallows,129924,10.8,3,7.2,3.6,2021-07-12,2027-01-07,Standard Class
Wonka Bar - Fudge Mallows,129924,7.2,2,4.8,2.4,2021-07-12,2027-01-07,Standard Class
Wonka Bar -Scrumdiddlyumptious,144400,10.8,3,7.5,3.3,2023-02-23,2028-08-19,Standard Class
Wonka Bar - Milk Chocolate,158218,13.0,4,8.44,4.56,2024-05-12,2029-11-05,Second Class
Wonka Bar - Fudge Mallows,158218,18.0,5,12.0,6.0,2024-05-12,2029-11-05,Second Class
Wonka Bar - Fudge Mallows,167262,28.8,8,19.2,9.6,2021-10-31,2027-04-26,Second Class
Wonka Bar - Triple Dazzle Caramel,106495,3.75,1,2.45,1.3,2022-06-15,2027-12-08,First Class
Wonka Bar -Scrumdiddlyumptious,164441,39.6,11,27.5,12.1,2022-11-08,2028-05-05,Standard Class
Wonka Bar -Scrumdiddlyumptious,164441,10.8,3,7.5,3.3,2022-11-08,2028-05-05,Standard Class
Wonka Bar - Fudge Mallows,116232,32.4,9,21.6,10.8,2023-09-22,2029-03-18,Standard Class
Wonka Bar - Milk Chocolate,116232,6.5,2,4.22,2.28,2023-09-22,2029-03-18,Standard Class
Wonka Bar - Nutty Crunch Surprise,163573,17.45,5,12.45,5.0,2023-11-24,2029-05-19,First Class
Wonka Bar - Fudge Mallows,141789,7.2,2,4.8,2.4,2024-10-03,2030-03-29,First Class
Wonka Bar - Nutty Crunch Surprise,158729,6.98,2,4.98,2.0,2024-12-19,2030-06-13,First Class
Wonka Bar - Triple Dazzle Caramel,100734,15.0,4,9.8,5.2,2022-09-15,2028-03-12,Standard Class
Wonka Bar - Milk Chocolate,100734,6.5,2,4.22,2.28,2022-09-15,2028-03-12,Standard Class
Wonka Bar -Scrumdiddlyumptious,136007,18.0,5,12.5,5.5,2024-02-23,2029-08-23,Standard Class
Wonka Bar - Triple Dazzle Caramel,136007,18.75,5,12.25,6.5,2024-02-23,2029-08-23,Standard Class
Wonka Bar - Triple Dazzle Caramel,101637,7.5,2,4.9,2.6,2024-03-24,2029-09-15,Same Day
Wonka Bar - Fudge Mallows,157987,18.0,5,12.0,6.0,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Nutty Crunch Surprise,157987,6.98,2,4.98,2.0,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Milk Chocolate,157987,3.25,1,2.11,1.14,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Nutty Crunch Surprise,157987,3.49,1,2.49,1.0,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Milk Chocolate,157987,6.5,2,4.22,2.28,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Nutty Crunch Surprise,157987,10.47,3,7.47,3.0,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Nutty Crunch Surprise,157987,27.92,8,19.92,8.0,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Milk Chocolate,157987,19.5,6,12.66,6.84,2024-09-02,2030-02-27,Standard Class
Wonka Bar -Scrumdiddlyumptious,157987,14.4,4,10.0,4.4,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Nutty Crunch Surprise,157987,10.47,3,7.47,3.0,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Fudge Mallows,157987,7.2,2,4.8,2.4,2024-09-02,2030-02-27,Standard Class
Wonka Bar -Scrumdiddlyumptious,157987,10.8,3,7.5,3.3,2024-09-02,2030-02-27,Standard Class
Wonka Bar - Nutty Crunch Surprise,169411,3.49,1,2.49,1.0,2024-12-24,2030-06-21,Standard Class
Wonka Bar -Scrumdiddlyumptious,122021,7.2,2,5.0,2.2,2021-10-15,2027-04-09,First Class
Wonka Bar - Fudge Mallows,122021,7.2,2,4.8,2.4,2021-10-15,2027-04-09,First Class
Wonka Bar - Milk Chocolate,134544,6.5,2,4.22,2.28,2023-03-17,2028-09-08,Second Class
Wonka Bar - Fudge Mallows,161928,7.2,2,4.8,2.4,2023-06-27,2028-12-19,Second Class
Wonka Bar - Triple Dazzle Caramel,158617,22.5,6,14.7,7.8,2023-09-22,2029-03-20,Standard Class
Wonka Bar - Triple Dazzle Caramel,135650,7.5,2,4.9,2.6,2024-03-23,2029-09-17,Standard Class
Wonka Bar -Scrumdiddlyumptious,128062,3.6,1,2.5,1.1,2021-11-19,2027-05-15,Second Class
Wonka Bar -Scrumdiddlyumptious,152030,10.8,3,7.5,3.3,2021-12-26,2027-06-20,Second Class
Wonka Bar -Scrumdiddlyumptious,120439,21.6,6,15.0,6.6,2022-06-14,2027-12-09,Standard Class
Wonka Bar - Nutty Crunch Surprise,124268,10.47,3,7.47,3.0,2022-07-04,2027-12-29,Standard Class
Wonka Bar -Scrumdiddlyumptious,127432,7.2,2,5.0,2.2,2024-01-22,2029-07-19,Standard Class
Wonka Bar - Triple Dazzle Caramel,127432,11.25,3,7.35,3.9,2024-01-22,2029-07-19,Standard Class
Wonka Bar -Scrumdiddlyumptious,127432,10.8,3,7.5,3.3,2024-01-22,2029-07-19,Standard Class
Wonka Bar - Triple Dazzle Caramel,127432,18.75,5,12.25,6.5,2024-01-22,2029-07-19,Standard Class
Wonka Bar - Fudge Mallows,136784,14.4,4,9.6,4.8,2024-04-30,2029-10-26,Standard Class
Wonka Bar - Triple Dazzle Caramel,160416,15.0,4,9.8,5.2,2024-11-13,2030-05-11,Second Class
Wonka Bar - Nutty Crunch Surprise,143245,10.47,3,7.47,3.0,2024-12-01,2030-05-29,Standard Class
Wonka Bar - Fudge Mallows,143245,10.8,3,7.2,3.6,2024-12-01,2030-05-29,Standard Class
Wonka Bar - Triple Dazzle Caramel,168634,7.5,2,4.9,2.6,2022-12-06,2028-06-02,Standard Class
Wonka Bar -Scrumdiddlyumptious,126270,25.2,7,17.5,7.7,2023-04-23,2028-10-17,Standard Class
Wonka Bar -Scrumdiddlyumptious,126270,10.8,3,7.5,3.3,2023-04-23,2028-10-17,Standard Class
Wonka Bar - Fudge Mallows,139234,7.2,2,4.8,2.4,2023-05-06,2028-10-30,Standard Class
Wonka Bar - Nutty Crunch Surprise,139234,6.98,2,4.98,2.0,2023-05-06,2028-10-30,Standard Class
Wonka Bar - Triple Dazzle Caramel,146934,7.5,2,4.9,2.6,2023-05-22,2028-11-16,Standard Class
Wonka Bar - Nutty Crunch Surprise,146934,13.96,4,9.96,4.0,2023-05-22,2028-11-16,Standard Class
Wonka Bar -Scrumdiddlyumptious,146934,21.6,6,15.0,6.6,2023-05-22,2028-11-16,Standard Class
Wonka Bar - Milk Chocolate,146934,16.25,5,10.55,5.7,2023-05-22,2028-11-16,Standard Class
Wonka Bar - Triple Dazzle Caramel,146934,7.5,2,4.9,2.6,2023-05-22,2028-11-16,Standard Class
Wonka Bar -Scrumdiddlyumptious,146934,18.0,5,12.5,5.5,2023-05-22,2028-11-16,Standard Class
Wonka Bar - Fudge Mallows,125269,18.0,5,12.0,6.0,2024-04-24,2029-10-21,Standard Class
Wonka Bar - Milk Chocolate,125269,3.25,1,2.11,1.14,2024-04-24,2029-10-21,Standard Class
Wonka Bar - Triple Dazzle Caramel,167871,3.75,1,2.45,1.3,2024-11-18,2030-05-16,Standard Class
Wonka Bar -Scrumdiddlyumptious,167871,3.6,1,2.5,1.1,2024-11-18,2030-05-16,Standard Class
Wonka Bar - Milk Chocolate,139969,9.75,3,6.33,3.42,2024-11-19,2030-05-19,Standard Class
Wonka Bar - Triple Dazzle Caramel,114181,26.25,7,17.15,9.1,2021-05-10,2026-11-04,Second Class
Wonka Bar -Scrumdiddlyumptious,114181,18.0,5,12.5,5.5,2021-05-10,2026-11-04,Second Class
Wonka Bar - Triple Dazzle Caramel,103702,26.25,7,17.15,9.1,2021-09-12,2027-03-10,Standard Class
Wonka Bar - Triple Dazzle Caramel,114300,11.25,3,7.35,3.9,2022-10-13,2028-04-08,Standard Class
Wonka Bar - Triple Dazzle Caramel,114300,26.25,7,17.15,9.1,2022-10-13,2028-04-08,Standard Class
Wonka Bar - Milk Chocolate,115588,9.75,3,6.33,3.42,2023-11-10,2029-05-04,Second Class
Wonka Bar -Scrumdiddlyumptious,115588,18.0,5,12.5,5.5,2023-11-10,2029-05-04,Second Class
Wonka Bar - Fudge Mallows,167164,7.2,2,4.8,2.4,2021-05-13,2026-11-05,Second Class
Wonka Bar - Triple Dazzle Caramel,103058,7.5,2,4.9,2.6,2021-07-23,2027-01-14,First Class
Wonka Bar -Scrumdiddlyumptious,153738,21.6,6,15.0,6.6,2021-09-20,2027-03-15,First Class
Wonka Bar -Scrumdiddlyumptious,153738,21.6,6,15.0,6.6,2022-09-20,2028-03-14,First Class
Wonka Bar -Scrumdiddlyumptious,153738,7.2,2,5.0,2.2,2022-09-20,2028-03-14,First Class
Wonka Bar - Triple Dazzle Caramel,105732,52.5,14,34.3,18.2,2023-09-13,2029-03-10,Standard Class
Wonka Bar - Nutty Crunch Surprise,105732,6.98,2,4.98,2.0,2023-09-13,2029-03-10,Standard Class
Wonka Bar -Scrumdiddlyumptious,105732,18.0,5,12.5,5.5,2023-09-13,2029-03-10,Standard Class
Wonka Bar - Nutty Crunch Surprise,105732,10.47,3,7.47,3.0,2023-09-13,2029-03-10,Standard Class
Wonka Bar -Scrumdiddlyumptious,105732,10.8,3,7.5,3.3,2023-09-13,2029-03-10,Standard Class
Wonka Bar - Milk Chocolate,105732,9.75,3,6.33,3.42,2023-09-13,2029-03-10,Standard Class
Wonka Bar - Triple Dazzle Caramel,105732,22.5,6,14.7,7.8,2023-09-13,2029-03-10,Standard Class
Wonka Bar - Fudge Mallows,105732,7.2,2,4.8,2.4,2023-09-13,2029-03-10,Standard Class
Wonka Bar - Triple Dazzle Caramel,105732,18.75,5,12.25,6.5,2023-09-13,2029-03-10,Standard Class
Wonka Bar -Scrumdiddlyumptious,105732,10.8,3,7.5,3.3,2023-09-13,2029-03-10,Standard Class
Wonka Bar -Scrumdiddlyumptious,153738,21.6,6,15.0,6.6,2023-09-20,2029-03-14,First Class
Wonka Bar - Milk Chocolate,139416,6.5,2,4.22,2.28,2024-03-27,2029-09-19,Second Class
Wonka Bar -Scrumdiddlyumptious,153738,21.6,6,15.0,6.6,2024-09-20,2030-03-15,First Class
Wonka Bar - Nutty Crunch Surprise,147298,10.47,3,7.47,3.0,2021-04-26,2026-10-24,Standard Class
Wonka Bar -Scrumdiddlyumptious,147298,21.6,6,15.0,6.6,2021-04-26,2026-10-24,Standard Class
Wonka Bar - Milk Chocolate,166800,13.0,4,8.44,4.56,2022-11-19,2028-05-18,Standard Class
Lickable Wallpaper,143749,20.0,1,10.0,10.0,2023-12-05,2029-05-29,First Class
Wonka Bar - Fudge Mallows,161823,7.2,2,4.8,2.4,2024-09-03,2030-03-01,Standard Class
Wonka Bar - Triple Dazzle Caramel,104150,11.25,3,7.35,3.9,2023-08-03,2029-01-25,Second Class
Wonka Bar - Triple Dazzle Caramel,104150,45.0,12,29.4,15.6,2023-08-03,2029-01-25,Second Class
